County,State,MURDER,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
Los Angeles County, CA,600,18923,23057,49107,142604,40555,2210,10017068
Cook County, IL,566,15583,14657,34233,115634,20245,892,5240700
Harris County, TX,307,12449,16290,43644,114208,20829,1153,4336853
Maricopa County, AZ,208,5341,9810,32859,90864,11818,758,4009412
San Diego County, CA,107,3200,7840,14076,43412,12136,346,3211252
Orange County, CA,51,2132,4208,11819,48899,7103,298,3114363
Miami-Dade County, FL,210,6006,10383,21105,82992,9451,226,2617176
Kings County, NY,129,6235,9616,5742,35966,2524,0,2592149
Dallas County, TX,165,4889,5227,25141,59144,10235,692,2480331
Queens County, NY,114,5522,8522,5088,31814,2235,0,2296175
Riverside County, CA,76,2349,4242,19105,39880,9191,241,2292507
San Bernardino County, CA,102,2923,5585,18788,32802,11509,367,2088371
King County, WA,57,2572,3691,17559,53262,9545,310,2044449
Clark County, NV,94,4422,8639,17538,33364,8213,297,2027868
Tarrant County, TX,73,2167,5028,16077,46906,4559,228,1911541
Santa Clara County, CA,55,1639,2846,8940,28055,10997,312,1862041
Broward County, FL,80,3408,4771,17400,45279,4320,180,1838844
Bexar County, TX,101,2038,5047,18580,69589,7155,336,1817610
Wayne County, MI,433,5879,11795,19882,34706,15251,766,1775273
New York County, NY,81,3932,6070,3623,22730,1592,0,1626159
Alameda County, CA,153,6220,5050,13245,35841,13044,337,1578891
Philadelphia County, PA,332,7984,8669,12004,38595,6401,0,1553165
Middlesex County, MA,8,757,2275,5181,18865,1376,91,1552802
Suffolk County, NY,23,745,1295,4349,21072,1178,155,1499738
Sacramento County, CA,79,2560,4986,11383,28679,8416,244,1462131
Bronx County, NY,71,3420,5279,3165,19721,1385,0,1418733
Palm Beach County, FL,74,1883,4230,10230,31147,2641,157,1372171
Nassau County, NY,28,1091,1270,2754,13200,1004,90,1352146
Hillsborough County, FL,53,1130,3200,7139,21548,1811,110,1291578
Cuyahoga County, OH,99,3719,2277,12781,21517,4681,367,1263154
Oakland County, MI,33,610,1658,4787,15514,1822,175,1231640
Allegheny County, PA,81,1732,3105,5727,19160,1167,408,1231527
Orange County, FL,76,1977,5616,14034,32034,4013,50,1225267
Franklin County, OH,80,3296,1291,16769,34668,3783,587,1212263
Hennepin County, MN,49,2083,2198,7820,29171,2592,221,1198778
Fairfax County, VA,16,353,409,1155,13627,830,72,1130924
Travis County, TX,32,997,2607,8244,36913,2419,152,1120954
Contra Costa County, CA,56,1603,2556,8556,16973,7258,164,1094205
Salt Lake County, UT,27,773,2188,6584,35187,4226,128,1079721
Montgomery County, MD,14,878,880,2690,13679,1073,239,1016677
St. Louis County, MO,38,732,2114,5444,19368,1961,123,1001444
Pima County, AZ,56,1481,2883,8284,11683,3599,310,996554
Mecklenburg County, NC,54,1886,3339,8340,25995,2295,233,990977
Fulton County, GA,123,3365,4428,11091,31070,7645,135,984293
Honolulu County, HI,11,914,1246,4713,21978,2754,210,983429
Wake County, NC,21,814,1415,5240,16762,1341,108,974289
Westchester County, NY,20,915,1432,1903,10020,634,44,968802
Milwaukee County, WI,103,3426,4919,8744,29434,5223,351,956023
Fresno County, CA,76,1410,3448,10493,24451,6909,415,955272
Fairfield County, CT,33,948,1277,3214,11574,1515,65,939904
Shelby County, TN,135,3512,8224,14011,30620,3233,435,939465
DuPage County, IL,6,259,502,2222,12033,495,101,932126
Pinellas County, FL,44,1206,3505,7392,24499,1755,167,929048
Marion County, IN,102,3486,6017,15125,29122,4757,414,928281
Bergen County, NJ,7,301,523,2068,8693,621,35,925328
Erie County, NY,50,1602,2361,6019,19729,1481,341,919866
Hartford County, CT,34,1153,1429,4293,16180,2020,140,898272
Prince George's County, MD,63,2450,2260,6050,20025,5092,159,890081
Duval County, FL,94,1436,3621,8025,27335,1712,96,885855
Kern County, CA,65,1313,3424,10931,17584,6246,589,864124
New Haven County, CT,33,1351,1864,4218,18049,2108,58,862287
Gwinnett County, GA,39,807,857,4849,12877,1305,65,859304
Collin County, TX,11,394,674,3489,12879,919,64,854778
Macomb County, MI,4,438,1731,3591,12722,1931,128,854769
Ventura County, CA,21,617,926,3113,11404,1404,128,839620
San Francisco County, CA,69,3554,2141,5401,29256,5381,211,837442
Middlesex County, NJ,13,585,706,3156,9894,772,70,828919
El Paso County, TX,28,507,2485,2361,15563,1354,118,827718
Baltimore County, MD,24,1368,2642,4083,18013,1572,257,823015
Pierce County, WA,38,910,2274,9180,20856,3967,169,819743
Hidalgo County, TX,30,474,1879,6465,22631,1421,171,815996
Montgomery County, PA,11,509,767,2325,12120,494,99,812376
Worcester County, MA,14,631,2665,4731,11446,877,67,809106
Hamilton County, OH,58,2077,1156,8318,23723,1601,443,804520
Essex County, NJ,121,2938,2021,4849,10759,5882,119,789565
Multnomah County, OR,24,1170,2177,5621,27569,4482,293,766135
Essex County, MA,8,561,2138,2930,9992,1459,36,762550
Jefferson County, KY,78,1557,2465,8103,21941,2430,250,756832
Suffolk County, MA,60,2257,3653,3956,16223,1998,11,755503
Oklahoma County, OK,83,1137,3630,10118,23238,4163,145,755245
Monroe County, NY,41,1011,1447,4968,16774,976,233,749606
San Mateo County, CA,10,504,1140,3259,9543,1563,84,747373
Snohomish County, WA,16,437,886,5336,13756,2405,143,745913
Denton County, TX,10,331,680,3084,10732,972,79,728799
Cobb County, GA,15,646,1115,4322,11263,1136,44,717190
DeKalb County, GA,80,2140,1847,10669,21449,5575,184,713340
San Joaquin County, CA,89,1992,4016,8019,16847,4398,158,704379
Lake County, IL,6,266,625,2474,9857,305,57,703019
Norfolk County, MA,4,280,895,2155,7010,464,39,687802
Will County, IL,21,249,767,2416,8545,430,140,682829
Jackson County, MO,116,1913,4594,9695,25994,4953,318,679996
Bernalillo County, NM,50,1184,3416,7857,22025,3032,139,674221
Lee County, FL,45,553,1527,4171,9927,923,46,661115
Hudson County, NJ,15,1323,1493,2664,8135,1504,38,660282
Jefferson County, AL,85,1597,3315,9910,19810,1809,185,659479
Davidson County, TN,65,1753,5309,5875,20373,1418,100,658602
El Paso County, CO,20,566,1449,4680,14760,2068,117,655044
Fort Bend County, TX,8,417,1102,3070,7179,714,41,652365
Denver County, CO,39,1170,2299,5152,14857,3688,98,649495
District of Columbia, DC,88,4037,3505,3519,23575,3663,51,646449
Monmouth County, NJ,11,366,649,2556,9202,352,41,629672
Providence County, RI,30,632,1310,4292,11939,2280,114,628600
Bucks County, PA,6,216,345,2121,9748,466,58,626976
Polk County, FL,39,421,1584,5796,12467,825,90,623009
Tulsa County, OK,45,1122,2928,7291,15582,2702,263,622409
Baltimore city, MD,216,3638,4660,7804,18055,4009,251,622104
Kent County, MI,22,639,1585,3878,10346,613,129,621700
Arapahoe County, CO,22,552,970,2879,11787,1348,110,607070
Ocean County, NJ,4,158,415,2659,8369,212,66,583414
Johnson County, KS,8,126,582,1534,8912,964,87,566933
Delaware County, PA,30,849,1932,2309,9745,602,59,561973
Anne Arundel County, MD,13,538,1806,2588,11324,888,65,555743
Washington County, OR,10,219,480,1652,8171,567,82,554996
Bristol County, MA,6,692,1965,3653,8599,876,105,552780
Utah County, UT,6,67,237,1304,8450,364,20,551891
Jefferson County, CO,8,238,830,2186,11565,1151,69,551798
Brevard County, FL,30,505,2229,3945,11867,847,64,550823
New Castle County, DE,46,1167,1855,4310,12637,1015,22,549684
Union County, NJ,28,966,824,2613,7099,1832,34,548256
Summit County, OH,27,656,1105,4547,11196,997,145,541824
